name	mrna_length	genome_length	exon_count
SLC22A17	2002	5952	9
EFS	3117	9231	6
IL25	1360	3588	2
CMTM5	1106	2964	4
MYH6	5939	26286	39
GTF2E2	1535	79707	8
TAF2	5019	102060	26
ZFHX2	5674	5935	2
THTPA	2132	3522	2
AP1G2	2876	8503	22
JPH4	4385	10747	7
DHRS2	1665	9265	9
C14orf165	927	12319	3
DHRS4	1276	15522	8
DHRS4L2	1269	17486	8
C14orf121	4604	17736	40
CPNE6	2009	6540	17
PCK2	1709	6283	7
WDR23	4268	10430	15
LOC161247	910	1291	2
PSME1	994	2798	11
C14orf122	834	2623	6
PSME2	828	3281	11
C14orf140	2075	8500	3
FAM98B	1101	27502	7
ISGF3G	1676	5351	9
C20orf52	460	1670	3
DSCR10	858	2487	3
IPO4	3599	8699	30
TM9SF1	2430	6523	6
TSSK4	1255	2491	4
CHMP4A	1503	4397	6
MDP-1	681	2082	6
NEDD8	606	15501	4
GMPR2	1949	6798	10
TINF2	2095	2948	6
RABGGTA	2201	5998	16
DHRS1	1470	8861	9
C14orf21	2047	5277	10
C5orf3	2884	47233	14
LTB4R2	2798	2798	1
LTB4R	3018	3634	2
ADCY4	3291	16294	25
NFATC4	4899	11555	10
KIAA0323	6253	11365	8
TTBK2	5621	176462	15
CMA1	784	2760	5
CTSG	923	2742	5
GZMH	902	3172	5
GZMB	923	3269	5
STXBP6	1959	237792	6
NOVA1	3917	151871	5
FOXG1B	2584	2584	1
KIAA1333	5533	60670	15
SCFD1	2156	113498	25
COCH	2534	16058	12
STRN3	3946	132579	16
AP4S1	1571	60115	6
SLC18A3	2419	2419	1
TPP1	3533	6696	13
ABCC8	4978	84018	39
C14orf126	2678	11436	3
NUBPL	2050	298831	11
ARHGAP5	9602	82438	7
AKAP6	10342	503745	14
NPAS3	3406	862493	11
EGLN3	2722	26864	5
SNX6	3080	68698	13
CFL2	3074	3385	4
BAZ1A	6014	122915	27
SRP54	2147	46536	16
PPP2R3C	1834	36842	13
KIAA0391	2608	151493	8
PSMA6	1011	25100	7
NFKBIA	1550	3228	6
INSM2	3013	3013	1
GARNL1	7863	270874	41
BRMS1L	2583	45572	10
MBIP	1604	22075	9
TITF1	2338	3302	2
NKX2-8	1802	2570	2
PAX9	1629	14966	4
SLC25A21	1995	492788	10
MIPOL1	6081	353308	14
FOXA1	3110	5299	2
TTC6	1622	46982	12
SSTR1	4291	5065	3
CLEC14A	2256	2256	1
SEC23A	3841	71315	20
SIP1	1312	22688	9
PNN	2598	7028	9
MIA2	2279	19449	6
CTAGE5	3596	86087	24
FBXO33	3678	34657	4
LRFN5	3148	296405	6
C14orf155	2911	2911	1
C14orf28	2905	9953	5
bA16L21.2.1	2266	22998	4
KIAA1712	4502	36622	12
PRPF39	3179	31479	15
FKBP3	1378	19414	8
FANCM	7108	64938	23
C14orf106	4567	50003	17
RPL10L	807	807	1
MAMDC1	4726	503100	17
RPS29	711	9042	3
PPIL5	1744	15975	4
RPL36AL	520	1941	2
MGAT2	2513	2710	2
C14orf104	1748	8842	3
POLE2	1687	44655	19
KLHDC1	2621	59978	13
KLHDC2	1805	15069	13
LOC90342	2536	9287	19
PNKD	756	2554	3
ARF6	1798	1896	2
LOC283551	2686	25809	4
LOC196913	974	8992	5
SOS2	3997	112939	24
OR4F29	939	939	1
TAX1BP1	3340	89649	17
ATP5S	1357	10695	3
CDKL1	1176	65897	9
MAP4K5	4351	114130	32
SPG3A	2244	72641	14
SAV1	3031	34664	5
NIN	10241	111358	32
C14orf29	1579	32810	12
PYGL	2830	39298	20
TRIM9	4549	120065	10
TXNDC1	2440	15824	8
C14orf166	1102	141249	10
NID2	5045	64426	22
PTGDR	2941	9011	2
PTGER2	2379	14208	2
KIAA1344	4552	121905	21
ERO1L	3308	53813	16
PSMC6	1570	20798	14
STYX	2589	42549	11
GNPNAT1	3924	16472	6
PLEKHC1	3226	93718	15
DDHD1	3546	107258	12
BMP4	1777	4814	4
CDKN3	836	23207	8
CNIH	1310	14502	4
GMFB	4125	14536	7
CGRRF1	1321	28746	6
SAMD4A	2338	221209	12
GCH1	2923	60817	6
WDHD1	4641	86866	25
SOCS4	6881	22364	2
PDCD6	1135	43354	6
GNAS	2561	71455	13
DLG7	2979	43549	19
FBXO34	3406	82249	2
KIAA0831	4742	45467	10
ATXN7L2	2316	8794	11
PELI2	5695	182938	6
CMBL	4046	30461	6
OTX2	2067	4919	3
EXOC5	8509	66422	18
C14orf108	3068	21165	8
NAT12	2892	20613	5
C14orf105	2506	23976	6
C14orf37	3081	148039	8
MGC24039	9391	208796	21
PSMA3	927	27134	11
SNIP	7049	75924	19
FAM105B	7895	35059	7
ARID4A	5562	75227	23
UNQ9438	610	12776	5
TIMM9	1077	18862	6
KIAA0586	4964	120688	32
DAAM1	4256	181073	26
C14orf149	1381	11668	5
C14orf100	1657	20204	7
RTN1	1692	34827	7
C14orf135	2650	18870	6
DHRS7	1282	20606	7
PPM1A	2331	47598	6
C14orf39	2747	50075	18
SIX6	1389	2502	2
SIX1	1376	3428	2
SIX4	6213	14535	3
MNAT1	1370	233927	8
TRMT5	5272	9607	5
SLC38A6	1514	71295	16
PRKCH	3503	229181	14
HIF1A	3938	52738	15
SNAPC1	2563	33979	10
KCNH5	3297	338009	11
RHOJ	1905	87415	5
GPHB5	392	4922	2
PPP2R5E	3366	168725	14
WDR89	3149	44368	3
SGPP1	3307	43821	3
SYNE2	21875	373483	116
TMTC4	3753	71013	19
LOC374920	2278	26929	5
ZC3H6	11539	64463	12
GUSBL2	5331	52868	8
PRDM15	6652	81196	24
MTHFD1	3110	71629	28
AKAP5	2595	2595	1
ZBTB25	1575	16998	3
ZBTB1	3990	28988	3
HSPA2	2461	7330	2
C14orf50	1405	39477	12
PLEKHG3	4400	39868	15
SPTB	10063	76865	35
CHURC1	3381	20774	4
GPX2	994	3660	2
RAB15	3311	26264	7
FNTB	2818	75863	12
MAX	452	96336	4
FUT8	3758	332122	11
MGC88374	1132	12162	11
GPHN	4201	674399	22
C14orf54	1754	39122	9
MPP5	5356	94515	15
ATP6V1D	1668	22002	9
EIF2S1	4164	26199	8
PLEK2	1460	25129	9
PIGB	2196	36713	12
PIGL	1151	109064	7
PIGN	4778	142812	30
ARG2	1978	31856	8
VTI1B	1277	23683	6
RDH11	2517	18943	7
RDH12	1723	11978	7
ZFYVE26	9669	70064	42
RAD51L1	1545	658301	11
ZFP36L1	3022	5411	2
SDCCAG1	4120	69007	33
ACTN1	3398	104917	21
WDR22	5815	102108	9
EXDL2	2831	32595	8
GALNTL1	2907	94269	16
ERH	795	18176	4
SLC39A9	3018	61318	7
KIAA0247	5388	103547	6
SFRS5	1650	4893	8
SLC10A1	1579	21403	5
SMOC1	3669	152941	12
SLC8A3	2844	35984	5
C14orf112	676	33610	4
SYNJ2BP	1354	44889	4
ADAM21	2405	2405	1
ADAM20	2791	12654	2
MED6	1343	16427	8
MAP3K9	5598	81033	13
PCNX	7690	202749	36
SIPA1L1	6003	210077	22
RGS6	3105	630822	17
WDR21A	2506	33272	14
ZFYVE1	2626	17505	9
RBM25	4171	62724	19
PSEN1	2764	83931	12
C8ORFK32	6960	366798	20
PAPLN	5781	37091	26
NUMB	3644	183369	13
HEATR4	3468	80459	17
ACOT1	1603	6571	3
ACOT2	1758	6579	3
ACOT4	1630	4059	3
ACOT6	1002	3043	2
DNAL1	1153	51483	8
PNMA1	2643	2643	1
C14orf43	8099	45176	12
ZADH1	2535	33489	10
ZNF410	2178	45218	12
C14orf44	2304	16131	9
COQ6	1535	13169	11
ENTPD5	1972	49451	15
C14orf45	2137	16337	5
ALDH6A1	2179	24324	12
LIN52	576	114240	6
CHX10	2988	23260	5
FAM46A	5611	6981	3
C6orf170	5132	255018	32
CPAMD8	5987	133863	42
KLHL28	6550	37652	5
FLJ45910	1996	28056	12
TRAPPC6B	3349	22618	6
C14orf115	3369	11499	2
NPC2	896	13441	5
ISCA2	941	1702	4
LTBP2	8551	114146	36
KIAA0317	5443	51851	20
FCF1	2403	23539	8
DLST	2810	21825	15
EVC2	4402	146141	22
PGF	1728	13752	7
EIF2B2	1539	6681	8
NICN1	3227	6992	6
ACYP1	605	10807	3
NEK9	3244	42662	22
FOS	2081	3380	4
JDP2	1695	38319	4
BATF	938	24549	3
C14orf58	3597	69516	10
C14orf1	2263	11029	5
TTLL5	4683	293801	32
TGFB3	2580	23048	7
C14orf179	816	97965	8
C14orf118	2474	50875	10
ESRRB	2193	129483	12
VASH1	5726	20825	7
ANGEL1	4058	25645	10
C14orf166B	1880	43913	15
C14orf4	4147	4147	1
KIAA1737	4347	19052	4
ZDHHC22	3077	10514	4
TMEM63C	5334	77669	24
NGB	1876	5822	4
POMT2	4864	45917	21
GSTZ1	1210	10586	9
TMED8	977	35282	6
C14orf174	2025	13826	3
C14orf148	753	16237	4
C14orf133	2761	30887	21
AHSA1	1363	11406	9
THSD3	2591	24420	6
SPTLC2	7232	109839	12
ALKBH1	2422	35608	5
C14orf156	385	9505	4
SNW1	2125	43554	14
C14orf178	891	9193	4
ADCK1	2183	133821	11
NRXN3	6128	1460666	17
DIO2	6120	13974	3
C14orf145	4454	443061	24
TSHR	1179	153418	9
GTF2A1	1736	40901	9
STON2	2917	128017	5
SEL1L	7843	62241	22
FLRT2	7178	97782	2
GALC	4175	60550	17
GPR65	1753	6919	2
KCNK10	2380	86003	7
MAPK8IP3	5623	64097	32
PTPN21	4220	87007	19
ZC3H14	3661	50539	14
EML5	7078	177954	44
TTC8	2202	53357	15
CHES1	7814	260850	6
TBC1D20	4454	27062	8
TDP1	3522	88861	16
KCNK13	2517	124088	2
PSMC1	1584	16071	11
C14orf102	3808	53882	14
CALM1	4201	11238	6
TTC7B	3433	275829	20
RPS6KA5	3870	189822	17
C14orf159	2973	110653	14
GPR68	2813	21348	2
CSNK1G3	4435	104670	13
NMNAT1	3780	42070	5
H2AFY2	2178	59683	9
C14orf161	3606	151296	27
MTAC2D1	4604	56158	12
FBLN5	2621	78280	11
TRIP11	6453	70526	21
ATXN3	2590	43823	10
NDUFB1	417	5684	3
CPSF2	5041	42215	16
SLC24A4	4416	173670	17
RIN3	3845	175208	10
LGMN	2135	44856	15
GOLGA5	2891	45655	13
CHGA	1994	12145	8
ITPK1	3196	176020	11
MOAP1	2415	2707	3
C14orf130	1575	20042	11
BTBD7	8446	95488	11
KIAA1409	8471	374125	50
MYD88	2811	4506	5
C14orf152	1806	10687	3
ASB2	2742	23255	8
C14orf48	1275	11568	7
OTUB2	3871	22551	6
DDX24	2947	30290	9
FAM14B	664	21417	5
IFI27	652	5955	5
FAM14A	467	1840	4
KIAA1622	899	53532	5
SERPINA10	2451	9710	5
SERPINA6	1491	19103	5
SERPINA1	1604	10454	5
SERPINA12	2061	30562	6
SERPINA4	1659	8459	5
SERPINA5	2226	11641	6
SERPINA3	1589	11676	5
SERPINA13	1717	6269	5
GSC	1189	1940	3
DICER1	10220	55490	28
FLJ45244	2331	2451	2
CLMN	3118	128338	13
C14orf49	3161	58229	17
GLRX5	1171	9733	2
TCL6	2193	20672	8
TCL1B	1143	6204	4
TCL1A	1310	4144	4
C14orf132	7473	54456	2
BDKRB2	4257	39587	3
BDKRB1	1287	8540	3
ARID4B	6066	161322	24
C14orf129	2065	7540	3
AK7	2649	96666	18
PAPOLA	4507	64727	22
VRK1	1702	84267	13
C14orf177	1283	6148	4
BCL11B	7600	102196	3
SETD3	2887	83143	13
CCNK	1932	30113	9
KIAA1822	2238	24132	8
CYP46A1	2076	42883	15
EML1	4518	148649	23
EVL	1841	78822	14
DEGS2	1348	13203	3
YY1	2592	39703	5
SLC25A29	2368	15406	4
C14orf68	1732	7036	6
WARS	2884	41803	11
WDR25	2002	153689	7
KIAA1446	2672	32644	7
C14orf70	1627	15477	2
DLK1	1349	8242	6
FLJ41170	1725	1725	1
DIO3	2100	2100	1
PPP2R5C	1376	96812	10
IL17RA	3411	25539	13
ZCWPW2	1657	134644	9
TMEM16K	2734	255743	13
CCDC51	1504	7948	4
SEC22A	1786	70579	7
HSP90AA1	3510	58638	12
WDR20	2234	70651	3
RAGE	1934	76354	12
C14orf131	1770	10729	6
CINP	977	14633	5
KIAA0329	8607	139440	20
ANKRD9	1626	2931	4
RCOR1	1448	133610	12
TRAF3	2428	128813	11
ZWILCH	3176	44386	19
GNA11	1597	27045	7
MGC19604	842	5801	5
ZNF626	6087	41657	4
ZNF493	4942	30364	4
TNFAIP2	4175	11113	11
EIF5	5788	10867	12
MARK3	3386	118394	16
CKB	1431	3175	8
SYT16	3137	105887	6
BAG5	5006	5726	2
C14orf153	2475	29178	5
ADAMTS16	4973	179969	23
XRCC3	2574	17842	10
ZFYVE21	1382	17854	7
C14orf2	613	9240	4
TDRD9	3338	82069	26
LOC400258	1847	10128	5
FLJ42486	1623	10678	3
C14orf151	1679	15179	5
ADSSL1	1753	23112	13
PDX1	1527	5238	2
C12orf59	2788	12846	4
AKT1	2986	24250	14
KIAA0284	6548	31433	18
FLJ30851	1773	16595	6
CDCA4	2154	11217	2
GPR132	3635	16017	4
JAG2	5076	27085	26
NUDT14	826	8364	6
BRF1	3567	38597	14
BTBD6	1953	2419	5
PACS2	3174	80258	24
CRIP2	1206	5370	8
CRIP1	410	1574	5
C14orf80	1358	7862	7
TMEM121	1519	3587	2
LOC283755	4222	122886	27
POTE15	2132	31415	11
OR4M2	941	941	1
OR4N4	950	950	1
TUBGCP5	3739	40388	23
CYFIP1	4428	110919	31
NIPA2	2446	29060	7
NIPA1	6563	43156	5
GOLGA8E	5237	13322	18
ZNF783	4452	22821	6
MKRN3	3107	3107	1
ZNF91	5395	37771	4
NDN	1889	1889	1
SNRPN	1616	154936	12
SNURF	1326	23595	10
UBE3A	4490	68257	10
ATP10A	6767	186451	22
GABRB3	5808	229556	9
GABRA5	2352	113599	11
OCA2	3136	344434	24
HERC2	15330	211106	93
GOLGA8G	5256	13362	18
FLJ32679	2803	11362	15
LOC440248	5698	55997	30
APBA2	3622	196662	14
NDNL2	1659	1659	1
ZNF74	3867	14272	5
CRELD1	2705	11583	10
HACE1	4576	131827	24
TJP1	7162	122348	28
CHRFAM7A	2858	32422	10
MTMR15	4835	39180	15
SYMPK	4188	47849	27
SIRPG	1716	28628	6
TMC2	3169	105178	20
KLF13	6799	51019	2
OTUD7A	3041	172213	11
CHRNA7	2155	138508	10
ARHGAP11A	2470	20691	11
SCG5	1151	55339	6
C15orf45	1787	1787	1
GREM1	4134	16662	2
RYR3	15558	555126	104
AVEN	1530	172875	6
CHRM5	2683	46860	2
C15orf24	1052	17829	5
C15orf29	2666	69349	10
TMEM85	984	5106	5
SH3BGRL3	1114	1800	3
C1orf90	954	1642	2
INSC	2876	132269	13
NOLA3	535	1446	2
NUT	3791	11864	7
AGPAT7	1907	8306	14
GOLGA8A	5226	28617	23
GJA9	965	2010	2
AQR	5079	113443	35
ZNF770	5402	9910	3
ATPBD4	2094	175282	9
C15orf41	2618	215353	12
MEIS2	2762	207271	12
TMCO5	1157	16166	11
SPRED1	3816	101726	8
RASGRP1	4946	76627	17
FLJ35695	2043	3441	2
FLJ39531	3046	4130	2
THBS1	5789	16388	22
PAPPA2	4370	228035	5
GPR176	2816	120163	3
EIF2AK4	5512	101451	39
SRP14	774	3147	5
BMF	4389	18197	3
BUB1B	3712	60098	23
PAK6	3858	37612	11
ESPN	3530	36156	13
SGTB	5453	56187	11
TMEM161B	2593	73642	12
FLJ43339	4716	6681	7
DISP2	5032	12823	8
OR51B2	1055	1055	1
C15orf23	1204	11015	9
IVD	2216	13378	12
BAHD1	4513	27018	7
D4ST1	2141	2141	1
RPUSD2	1839	5125	3
CASC5	8612	70091	27
RAD51	2255	36986	10
FAM82C	2251	19373	13
GCHFR	713	3627	3
DNAJC17	993	39585	11
FAM127B	1255	1255	1
C1orf41	599	24053	6
PPP1R14D	749	13257	4
SPINT1	2425	13607	11
RHOV	1167	1538	3
VPS18	3894	9545	5
DLL4	3383	9691	11
CHAC1	1497	3019	3
INOC1	6225	137261	36
EXDL1	2933	47964	10
CHP	3226	50645	7
OIP5	1234	23352	5
NUSAP1	2274	48177	11
NDUFAF1	1455	15090	5
RTF1	5000	66439	18
ITPKA	1771	9624	7
LTK	3119	10238	20
RPAP1	4670	27089	25
TYRO3	3949	20295	19
MAPKBP1	7150	53340	31
SMPD2	1679	3191	10
SNAPC4	4649	22860	23
SPTBN5	11722	45931	68
EHD4	2878	73102	6
KLHDC7A	5055	5055	1
ZNF436	4314	8938	3
HIVEP3	8570	408511	9
PLA2G4F	3396	15412	20
VPS39	4831	49603	25
TMEM87A	2875	62898	20
GANC	4585	79498	24
CAPN3	3881	64215	26
ZFP106	10459	44709	19
SNAP23	2307	37422	8
LRRC57	2647	6279	5
CEP27	1754	18990	6
CDAN1	4728	13656	28
CCDC67	2664	107752	14
UBR1	7737	163181	47
TMEM62	2763	51615	14
CCNDBP1	1594	9854	11
EPB42	2696	24054	13
OR52B4	943	943	1
OR56A4	1096	1096	1
OR4A5	948	948	1
MYL2	780	9732	7
LCMT2	2916	2916	1
ADAL	1557	18684	10
76P	3067	34926	18
TP53BP1	6270	103330	28
HISPPD2A	4919	51431	28
CKMT1B	1778	6352	10
STRC	5514	19237	29
CATSPER2	1928	18267	13
CKMT1A	1778	6336	10
PDIA3	3053	26214	13
ELL3	2113	4705	11
SERF2	512	1729	3
SERINC4	1490	5091	11
HYPK	1329	2147	4
MFAP1	2061	20217	9
WDR76	2524	40003	13
FLNB	9460	163849	46
CASC4	3961	127027	10
KIAA1505	3331	172586	19
EIF3S1	2556	25734	8
CKLF	655	13689	4
CENTA2	2747	37456	11
ADAM11	4400	22645	27
B2M	986	6672	4
TRIM69	1424	31466	6
C15orf43	1270	22517	7
SORD	2514	51687	9
DUOX2	6345	21507	34
JMJD2A	4508	55392	22
DUOXA1	1878	12371	11
DUOX1	5677	35583	35
SYT6	4369	64558	8
SLC28A2	2458	23700	18
GATM	2310	17383	9
SPATA5L1	2507	19026	8
C15orf48	915	2883	4
SLC30A4	4285	40325	8
C15orf21	1927	45595	6
PLDN	3940	22492	5
SQRDL	1671	56223	10
SEMA6D	2290	46992	13
SLC24A5	1616	21420	9
MYEF2	4543	38070	17
SLC12A1	3361	95227	26
DUT	2144	11948	7
RHBDF2	3516	30533	19
MME	5710	103440	23
SHC4	4555	139707	12
EID1	2091	2091	1
KIAA0256	6779	57664	17
COPS2	1942	28239	13
GALK2	3208	174027	10
C15orf33	1989	292522	16
FGF7	3851	64064	4
DTWD1	1208	22566	6
ATP8B4	5676	260984	28
SLC27A2	2343	54149	10
DOCK4	8335	480298	52
GABPB2	2841	78006	9
USP8	4235	75387	20
TRPM7	7217	126478	39
AP4E1	6682	97152	21
TNFAIP8L3	2256	48673	3
CYP19A1	2986	129123	10
TMED10	4144	45179	5
PARD3B	3639	1070022	22
SCG3	3309	39673	12
LYSMD2	1687	15055	3
TMOD2	2916	58533	10
TMOD3	2115	79956	10
LEO1	2145	33734	12
MAPK6	4186	47013	6
BCL2L10	885	3149	2
GNB5	2979	59040	11
MYO5C	6825	103331	41
BMP6	4966	156812	7
C6orf129	618	17002	4
C6orf150	1802	27188	5
NAG6	4168	30085	18
ARPP-19	5162	21782	3
KIAA1370	3863	96949	13
ONECUT1	1925	32857	2
WDR72	5882	244495	20
C15orf15	1464	15711	6
RAB27A	2802	66683	7
EML3	3255	10547	22
CCPG1	6666	53105	8
DYX1C1	1792	90478	9
PYGO1	1258	42828	3
PRTG	4108	123575	20
VWCE	3535	37030	20
PCDH17	8009	97277	4
NEDD4	7008	90199	22
TEX9	1413	80428	13
MNS1	1945	36329	10
SUHW4	4409	103413	21
TCF12	4712	369880	20
CGNL1	7217	174216	19
Gcom1	2384	93447	13
TMEM64	3243	22335	3
FAM9C	1137	9064	8
GRINL1A	910	2482	2
ALDH1A2	3141	60608	11
AQP9	2949	47631	6
LIPC	1603	136898	9
ADAM10	3927	153668	16
SLTM	4092	54608	21
RNF111	5535	109387	14
CCNB2	1512	19924	9
MYO1E	4714	236508	28
LDHAL6B	1666	1666	1
FAM81A	2904	84816	9
GCNT3	2118	3415	2
GTF2A2	733	18628	5
BNIP2	2359	26423	10
ANXA2	1633	50834	14
NARG2	7048	59536	16
RORA	1688	95244	10
VPS13C	13271	208056	83
NLF1	1404	1900	2
NLF2	1308	1478	2
FLJ38723	2918	6267	11
TLN2	8500	193932	56
TPM1	1287	23454	10
LACTB	1333	7994	5
RPS27L	1083	4202	4
RAB8B	4873	78244	8
APH1B	938	28322	6
CA12	3974	58345	11
USP3	2326	86850	15
FBXL22	1473	5023	2
HERC1	15136	225270	78
DAPK2	2628	139287	12
FAM96A	1040	21445	4
SNX1	8219	48255	15
SNX22	3614	5765	7
PPIB	1027	7340	5
TMEM123	3588	56718	5
LOC143941	679	3531	3
KIAA0101	1321	16490	3
TRIP4	2026	67481	13
ZNF609	8615	186646	9
OAZ2	1905	15679	5
RBPMS2	1991	35673	8
PIF1	2654	10004	13
PLEKHQ1	3666	26065	6
SPG21	1797	26888	9
MTFMT	1733	27115	9
OSTbeta	453	3226	3
RASL12	2576	14712	5
PDCD7	2850	16457	5
CLPX	2350	34779	14
CILP	4431	15467	9
PARP16	2533	28581	6
PUNC	3103	49538	14
NOPE	6485	41586	20
DPP8	4085	71611	21
C15orf44	2519	32288	12
LOC129607	2987	17484	5
KRT40	1813	8623	8
SP2	3112	32808	7
RAB11A	2392	19996	5
MEGF11	5702	358437	21
DIS3L	3657	40576	17
TIPIN	1050	19817	8
MAP2K1	2171	104257	11
RPL4	1431	5531	10
RUNX3	4339	65499	6
SMAD3	6234	129338	9
FLJ11506	2753	53616	10
IQCH	3341	246107	21
MAP2K5	2333	264431	21
PIGY	1353	2821	2
SHPRH	7346	79290	30
LIMD1	6283	86432	8
LBXCOR1	2766	8234	10
PIAS1	2278	133831	14
CLN6	2185	22694	7
FEM1B	2558	13499	2
ITGA11	5001	130443	30
ECOP	2943	101894	5
ANP32A	1097	41018	7
NOX5	2582	126210	17
SPESP1	1403	16284	2
GLCE	5043	111572	5
PAQR5	4254	107751	9
KIF23	3301	34072	22
RPLP1	512	2726	4
TLE3	2357	46740	20
UACA	7078	47726	19
LARP6	2047	22608	3
THAP10	2027	11072	3
LRRC49	2791	157448	16
NR2E3	2103	4377	7
MYO9A	8445	291827	42
SENP8	1438	22550	2
GRAMD2	3281	37979	12
PKM2	2458	32315	11
LRRC31	2463	30630	9
GOLGA	3177	12700	18
BRUNOL6	3399	35457	13
G6PC	3096	12572	5
C15orf34	1562	1562	1
ARIH1	2178	109157	14
HBM	510	795	3
BBS4	2482	52282	16
ADPGK	2492	32352	7
NEO1	5273	250908	29
HCN4	5065	47243	8
NPTN	2440	73396	9
CD276	3401	30238	10
LOC388135	1342	11674	2
TBC1D21	1205	15586	11
LOXL1	2361	25690	7
STOML1	1985	9075	7
PML	3072	41721	8
COL20A1	4170	37746	36
KLRC4	926	2372	4
GOLGA6	3176	12694	18
ISLR2	4182	6197	3
ISLR	2295	3126	2
STRA6	2769	23383	19
CYP11A1	1816	29864	9
SEMA7A	2660	23954	14
UBL7	1418	15193	11
FAM45B	1456	32887	9
CLK3	1664	21745	12
EDC3	3738	65461	7
CYP1A1	2600	5987	7
CYP1A2	3127	7758	7
CSK	2415	20790	13
LMAN1L	1735	12905	14
CPLX3	2012	5186	3
SCAMP2	1291	28474	9
MPI	1771	8156	8
C15orf17	2287	5872	5
COX5A	644	17754	5
SCAMP5	3382	25936	7
PPCDC	2218	27140	6
C15orf39	3747	9610	3
COMMD4	923	4239	8
NEIL1	1811	8177	10
MAN2C1	3253	12808	26
SIN3A	5124	80650	21
PTPN9	3937	112165	13
IMP3	1160	1160	1
SH3PX3	3231	9619	2
CSPG4	7895	38132	10
ODF3L1	1193	3709	4
UBE2Q2	2917	57581	13
FBXO22	1822	27114	6
NRG4	664	68941	6
ISL2	1798	5670	6
ZNF291	4673	535655	31
RCN2	1702	18129	7
PSTPIP1	1766	42118	15
TSPAN3	1824	25182	7
HMG20A	3883	64701	11
LINGO1	2932	19341	2
TBC1D2B	5877	82530	13
CIB2	1547	26888	6
IDH3A	2664	21165	11
ACSBG1	2828	63711	14
DNAJA4	3175	18041	8
WDR61	1188	16361	11
CRABP1	728	7863	4
IREB2	3928	60842	22
LOC123688	2180	21220	5
PSMA4	1172	8768	9
CHRNA5	2426	28553	6
CHRNA3	2998	25671	6
CHRNB4	2448	16952	6
ADAMTS7	5484	52223	24
MORF4L1	1823	24901	12
CTSH	1469	23313	12
RASGRF1	2843	43717	14
TMED3	1387	11698	3
KIAA1024	6742	39785	4
MTHFS	854	52021	3
C15orf37	2082	2082	1
BCL2A1	884	10409	2
ZFAND6	1678	78690	7
FAH	1447	33342	14
ARNT2	6553	193581	19
KIAA1199	7080	172288	29
MESDC2	4243	14111	3
MESDC1	2373	2373	1
C15orf26	2099	49767	8
IL16	8583	129902	21
STARD5	1309	11511	6
RKHD3	3398	4234	2
TGM5	1939	33681	12
DKFZp666G057	3128	22114	3
TNFAIP8	1968	125876	2
RPS17	485	3705	5
FLJ22795	2546	30837	7
KCNA1	7981	8348	2
OLR1	2516	13892	6
AP3B2	3703	50601	26
FSD2	2679	46969	13
HOMER2	1947	97686	9
MEGF6	7435	123550	37
FAM103A1	1146	4429	4
C15orf40	1406	6955	4
BTBD1	3200	50924	7
TM6SF1	1416	29295	10
HDGFRP3	1973	69506	6
BNC1	4612	28814	5
SH3GL3	2012	171209	12
ADAMTSL3	7333	385754	30
KIAA1920	8555	13386	4
ZSCAN2	988	5867	3
MYH11	6880	153894	41
HVCN1	1736	41127	8
CD4	3103	31326	10
TAS2R44	1021	1021	1
NMB	1028	3441	3
SEC11A	1381	46898	6
TMEM112	2606	117351	11
SLC28A1	1322	11355	7
PDE8A	3915	157166	22
FREM1	7373	173084	37
PRNP	2736	15438	2
PLAC4	10009	10009	1
SFTPG	454	826	3
AKAP13	13302	368716	37
CTNS	4431	26636	12
NTRK3	2860	379674	19
MRPL46	985	7910	4
MRPS11	1031	10807	5
DET1	2315	34171	6
ISG20L1	3054	10924	4
ISG20	956	16841	4
AGC1	7128	70839	18
HAPLN3	1892	18251	5
MFGE8	1934	14695	8
SWAP70	4845	88878	12
RLBP1	1751	11824	9
KIAA1794	4569	73169	37
POLG	4425	18468	23
RHCG	1933	25158	11
KIF7	3121	20368	15
PLIN	2908	14993	9
PEX11A	1159	7671	3
LOC56964	2408	52841	17
MESP1	1154	1435	2
ANPEP	3478	21809	20
AP3S2	2561	60414	6
C15orf38	1968	12328	6
ZNF710	3082	79274	5
IDH2	1729	18495	11
SEMA4B	3812	44739	15
CIB1	857	3683	7
TTLL13	1793	9549	10
NGRN	1349	6549	3
ZNF774	1772	9173	4
IQGAP1	7210	114003	38
FURIN	4180	14803	16
FES	2760	11296	19
MAN2A2	6268	18395	22
UNC45A	4001	23913	23
HDDC3	1046	1621	4
RCCD1	2681	8248	8
PRC1	3108	28532	15
ABCC2	4930	69079	32
SLCO3A1	2737	309831	10
ST8SIA2	5624	74817	6
C15orf32	1726	29441	3
LOC400451	2627	38351	3
GP5	3493	4446	2
IDUA	2185	17532	14
GRM6	6141	16795	10
RGMA	3216	45797	4
UNQ9370	1982	1982	1
MCTP2	2637	180769	22
NR2F2	3016	8096	4
SPATA8	1022	2166	3
ARRDC4	4044	13113	8
POU3F1	2928	2928	1
TEDDM1	2498	2498	1
LRRC28	1448	134845	10
MEF2A	2963	115340	12
LYSMD4	2881	6013	6
MAP3K15	4697	122221	30
LOC400464	1931	7142	3
ADAMTS14	5256	89635	22
FLJ42289	1559	5772	3
LILRA6	3930	6256	8
ASB7	1672	27579	5
LOC440313	3844	3844	1
LOC145757	610	610	1
