,location,strand,tissue
868,chr17:35443307-35443343,R,mac
869,chr13:74501604-74501611,F,mac
870,chr17:29752579-29752581,F,mac
871,chr2:80382056-80382056,F,mac
872,chr10:28836119-28836153,F,mac
873,chr19:12865601-12865604,F,mac
874,chr13:112807480-112807507,F,liv
875,chr9:52442281-52442344,R,liv
876,chr15:77783931-77783987,R,liv
877,chr10:120382392-120382428,R,cer
878,chr7:28883097-28883099,R,som
882,chr5:108607032-108607053,F,som
883,chr8:59212836-59212898,F,som
884,chr13:14719683-14719686,R,lun
885,chr2:152916849-152916884,R,vis
888,chr10:79947134-79947137,F,emb
889,chr18:59187863-59187885,F,som
890,chr2:59155522-59155570,F,vis
891,chrX:155846743-155846774,F,mac
892,chrX:131232289-131232297,F,mac
893,chr16:64793928-64793977,R,mac
894,chr6:53400328-53400328,R,mac
895,chr16:65733774-65733800,F,mac
896,chr15:25718995-25719006,F,mac
897,chr7:9370267-9370291,R,mac
899,chr12:111114624-111114683,F,cer
902,chr8:121874331-121874331,F,som
903,chr7:3238572-3238572,R,som
904,chr18:65013336-65013461,F,som
905,chr5:88643529-88643626,R,liv
906,chr11:120005996-120006064,R,cer
908,chr2:152982931-152982931,R,mac
910,chr2:121956712-121956757,F,liv
911,chr2:35404800-35404886,F,liv
912,chrX:11830509-11830535,R,liv
913,chr18:58335814-58335819,R,liv
915,chr7:142874598-142874673,F,emb
917,chr7:62228375-62228396,F,emb
918,chr10:75217993-75218030,R,liv
919,chr9:58297841-58297846,F,cer
920,chr1:75404960-75404964,F,mac
921,chr12:31659989-31660053,F,lun
922,chr9:77330528-77330597,R,mac
923,chr16:45105544-45105552,F,mac
924,chr8:96118650-96118737,R,liv
925,chr10:23584270-23584294,F,liv
926,chr2:126244649-126244819,F,liv
927,chr10:77049767-77049846,F,mac
928,chr8:42738557-42738592,F,mac
929,chr2:70752829-70752830,R,emb
930,chr4:41153754-41153754,F,emb
932,chr6:13395030-13395033,R,lun
933,chr9:21764522-21764524,F,cer
934,chr2:79929783-79929822,R,cer
935,chr6:120459415-120459446,R,cer
936,chr15:81062855-81062879,F,cer
937,chr17:27790043-27790082,F,som
938,chr4:8534702-8534703,F,vis
939,chr10:122082027-122082133,F,som
940,chr9:103905661-103905693,R,mac
941,chr14:69318509-69318516,R,mac
942,chr2:77617611-77617655,R,cer
943,chr12:77499413-77499435,R,cer
944,chr7:4659968-4660019,F,som
945,chr15:17658830-17658832,R,emb
946,chr4:153143652-153143733,R,lun
947,chr1:129252261-129252261,R,cer
948,chr6:72538567-72538568,R,mac
949,chr6:42375521-42375527,R,emb
950,chr11:30000102-30000170,R,emb
951,chr8:87947631-87947636,F,cer
952,chr1:21247994-21248055,F,liv
953,chr7:140624475-140624526,F,liv
954,chr19:39516380-39516386,R,liv
955,chr6:84286609-84286611,R,liv
956,chr9:107510249-107510349,R,liv
957,chr1:75063414-75063446,R,vis
958,chrX:32627419-32627445,F,vis
961,chr11:72023415-72023462,R,vis
963,chr8:56548802-56548844,F,som
964,chr5:20213466-20213492,F,som
968,chr9:112033326-112033363,R,vis
969,chr11:68773059-68773098,R,lun
970,chr18:69811716-69811780,F,mac
971,chr12:88873796-88873834,F,mac
973,chr5:122991988-122992027,R,som
974,chr6:112662410-112662458,R,som
975,chr15:95356643-95356688,R,som
977,chrX:98208355-98208355,R,liv
978,chr4:70345807-70345809,R,lun
979,chr3:130919934-130919936,R,cer
980,chr4:148491330-148491357,F,vis
981,chr19:54098545-54098595,F,vis
983,chr6:6832064-6832085,R,som
985,chr4:100844887-100844888,R,lun
986,chr3:96348736-96348738,R,emb
987,chr8:98567269-98567299,F,emb
988,chr10:58935014-58935014,R,vis
989,chr2:135749277-135749308,F,som
990,chr4:98289101-98289101,F,som
991,chr11:104389631-104389631,F,lun
992,chr9:72073564-72073569,F,mac
993,chr16:84846218-84846245,R,vis
995,chr1:36456796-36456867,F,mac
996,chr5:143420007-143420009,R,lun
998,chr3:95267399-95267413,R,mac
999,chr17:24240177-24240193,R,mac
